source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
data_prices_cleaned,1690,apartment,Ariana,La Soukra,La Soukra,"Ariana,La Soukra",111.0,2.0,2.0,400000.0
data_prices_cleaned,1691,apartment,Tunis,El Menzah 9,El Menzah 9,"Tunis,El Menzah 9",120.0,2.0,2.0,400000.0
data_prices_cleaned,1694,apartment,Tunis,El Menzah 9,El Menzah 9,"Tunis,El Menzah 9",126.0,2.0,2.0,370000.0
data_prices_cleaned,1696,house,Nabeul,Hammamet Nord,Hammamet Nord,"Nabeul,Hammamet Nord",265.0,4.0,3.0,600000.0
data_prices_cleaned,1699,apartment,Ariana,La Soukra,La Soukra,"Ariana,La Soukra",140.0,2.0,2.0,420000.0
data_prices_cleaned,1700,apartment,Tunis,El Menzah 9,El Menzah 9,"Tunis,El Menzah 9",58.0,1.0,1.0,235000.0
data_prices_cleaned,1711,house,Ben Arous,Boumhel,Boumhel,"Ben Arous,Boumhel",400.0,4.0,1.0,500000.0
data_prices_cleaned,1713,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",150.0,2.0,1.0,120000.0
data_prices_cleaned,1714,house,Nabeul,Klibia,Klibia,"Nabeul,Klibia",431.0,9.0,5.0,900000.0
data_prices_cleaned,1715,house,Sfax,Sakiet Ezzit,Sakiet Ezzit,"Sfax,Sakiet Ezzit",1921.0,5.0,3.0,850000.0
data_prices_cleaned,1721,house,Ben Arous,Hammam Lif,Hammam Lif,"Ben Arous,Hammam Lif",500.0,6.0,4.0,450000.0
data_prices_cleaned,1723,house,Nabeul,Klibia,Klibia,"Nabeul,Klibia",60.0,1.0,1.0,150000.0
data_prices_cleaned,1724,house,Ariana,La Soukra,La Soukra,"Ariana,La Soukra",247.0,3.0,3.0,900000.0
data_prices_cleaned,1726,house,Ben Arous,Hammam Chott,Hammam Chott,"Ben Arous,Hammam Chott",520.0,7.0,2.0,850000.0
data_prices_cleaned,1727,house,Nabeul,Klibia,Klibia,"Nabeul,Klibia",305.0,4.0,1.0,210000.0
