source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
tunisia_real_estate,6281,land,Nabeul,Hammamet,Hammamet,Hammamet,609.0,0.0,0.0,499380.0
tunisia_real_estate,6284,apartment,Sfax,Sfax Ville,Sfax Ville,Sfax Ville,120.0,,,136000.0
tunisia_real_estate,6286,apartment,Nabeul,Hammamet,Hammamet,Hammamet,85.0,,,250000.0
tunisia_real_estate,6288,apartment,Bizerte,Bizerte Nord,Bizerte Nord,Bizerte Nord,160.0,,,320000.0
tunisia_real_estate,6297,house,Nabeul,Hammamet,Hammamet,Hammamet,816.0,,,1600000.0
tunisia_real_estate,6299,house,Nabeul,Kelibia,Kelibia,Kelibia,150.0,,,140000.0
tunisia_real_estate,6302,house,Ariana,Raoued,Raoued,Raoued,170.0,,,850000.0
tunisia_real_estate,6305,land,Ben Arous,Ben Arous,Ben Arous,Ben Arous,425.0,0.0,0.0,340000.0
tunisia_real_estate,6307,house,Sousse,Akouda,Akouda,Akouda,566.0,,,730000.0
tunisia_real_estate,6309,land,Sousse,Hammam Sousse,Hammam Sousse,Hammam Sousse,2433.0,0.0,0.0,1094850.0
tunisia_real_estate,6311,land,Ariana,Raoued,Raoued,Raoued,600.0,0.0,0.0,270000.0
tunisia_real_estate,6314,land,Nabeul,Nabeul,Nabeul,Nabeul,12359.0,0.0,0.0,2719000.0
tunisia_real_estate,6319,apartment,Tunis,La Marsa,La Marsa,La Marsa,130.0,,,300000.0
tunisia_real_estate,6322,land,Nabeul,El Haouaria,El Haouaria,El Haouaria,268.0,0.0,0.0,450000.0
tunisia_real_estate,6324,house,Nabeul,Hammamet,Hammamet,Hammamet,1100.0,,,2200000.0
tunisia_real_estate,6325,house,Nabeul,Hammamet,Hammamet,Hammamet,720.0,,,980000.0
tunisia_real_estate,6332,land,Beja,Mejez El Bab,Mejez El Bab,Mejez El Bab,30000.0,0.0,0.0,750000.0
tunisia_real_estate,6333,house,Sousse,Akouda,Akouda,Akouda,122.0,,,130000.0
tunisia_real_estate,6339,land,Tunis,La Marsa,La Marsa,La Marsa,1000.0,0.0,0.0,1000000.0
tunisia_real_estate,6341,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,145.0,,,390000.0
tunisia_real_estate,6342,land,Ariana,Raoued,Raoued,Raoued,191.0,0.0,0.0,143000.0
tunisia_real_estate,6347,land,Zaghouan,Ennadhour,Ennadhour,Ennadhour,9500.0,0.0,0.0,170000.0
tunisia_real_estate,6352,house,Tunis,La Marsa,La Marsa,La Marsa,310.0,,,1700000.0
tunisia_real_estate,6357,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,670.0,,,1280000.0
tunisia_real_estate,6358,land,Tunis,La Marsa,La Marsa,La Marsa,400.0,0.0,0.0,360000.0
tunisia_real_estate,6361,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,55.0,,,150000.0
tunisia_real_estate,6363,house,Nabeul,Hammamet,Hammamet,Hammamet,390.0,,,660000.0
tunisia_real_estate,6364,apartment,Ben Arous,Ezzahra,Ezzahra,Ezzahra,120.0,,,260000.0
tunisia_real_estate,6367,house,Ariana,Raoued,Raoued,Raoued,111.0,,,330000.0
tunisia_real_estate,6368,house,Tunis,Sidi El Bechir,Sidi El Bechir,Sidi El Bechir,302.0,,,670000.0
tunisia_real_estate,6370,house,Nabeul,Beni Khiar,Beni Khiar,Beni Khiar,202.0,,,700000.0
tunisia_real_estate,6371,apartment,Ben Arous,Ezzahra,Ezzahra,Ezzahra,98.0,,,235000.0
tunisia_real_estate,6375,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,227.0,,,840000.0
tunisia_real_estate,6377,land,Sousse,Sousse Ville,Sousse Ville,Sousse Ville,573.0,0.0,0.0,378180.0
tunisia_real_estate,6378,house,Tunis,El Kram,El Kram,El Kram,530.0,,,1700000.0
tunisia_real_estate,6380,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,86.0,,,180000.0
tunisia_real_estate,6381,apartment,Ben Arous,El Mourouj,El Mourouj,El Mourouj,150.0,,,310000.0
tunisia_real_estate,6387,apartment,Tunis,La Marsa,La Marsa,La Marsa,121.0,,,295000.0
tunisia_real_estate,6390,apartment,Tunis,El Menzah,El Menzah,El Menzah,90.0,,,370000.0
tunisia_real_estate,6391,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,220.0,,,710000.0
tunisia_real_estate,6397,land,Ariana,Raoued,Raoued,Raoued,500.0,0.0,0.0,60000.0
tunisia_real_estate,6400,land,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,1700.0,0.0,0.0,2040000.0
tunisia_real_estate,6402,land,Tunis,La Marsa,La Marsa,La Marsa,130.0,0.0,0.0,117000.0
tunisia_real_estate,6403,house,Ben Arous,Mornag,Mornag,Mornag,545.0,,,200000.0
tunisia_real_estate,6405,apartment,Tunis,La Marsa,La Marsa,La Marsa,180.0,,,370000.0
tunisia_real_estate,6408,apartment,Tunis,El Kram,El Kram,El Kram,200.0,,,800000.0
tunisia_real_estate,6413,land,Ben Arous,Mornag,Mornag,Mornag,456.0,0.0,0.0,320000.0
tunisia_real_estate,6414,land,Nabeul,Hammamet,Hammamet,Hammamet,2620.0,0.0,0.0,314400.0
tunisia_real_estate,6415,house,Ben Arous,Rades,Rades,Rades,260.0,,,570000.0
tunisia_real_estate,6416,apartment,Ariana,Raoued,Raoued,Raoued,45.0,,,100000.0
tunisia_real_estate,6418,apartment,Ariana,La Soukra,La Soukra,La Soukra,174.0,,,557000.0
tunisia_real_estate,6420,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,146.0,,,350000.0
tunisia_real_estate,6425,house,Manouba,Mannouba,Mannouba,Mannouba,1250.0,,,950000.0
tunisia_real_estate,6427,apartment,Ben Arous,Ezzahra,Ezzahra,Ezzahra,95.0,,,280000.0
tunisia_real_estate,6433,apartment,Sousse,Hammam Sousse,Hammam Sousse,Hammam Sousse,75.0,,,105000.0
tunisia_real_estate,6436,land,Nabeul,Kelibia,Kelibia,Kelibia,196.0,0.0,0.0,43120.0
